image_id,model,language,Ethnic_Group,Rating_1to5,Accuracy_1to5,Completeness_1to5,Cultural_Depth_1to5,origin,ethnic_group,char_len,token_count,ttr,general_ctc,general_terms_matched,correct_ethnic_ctc,correct_ethnic_terms_matched,correct_ethnic_terms_total,confusion_terms_matched,confusion_term_rate,matched_ethnic_terms
Yi_0556,qwen2-vl-7b,zh,Yi,2,2,5,3,chinese,Yi,889,772,0.31865284974093266,0.22916666666666666,22,0.0,0,4,0,0.0,
Dong_0040,qwen2-vl-7b,en,Dong,4,3,5,4,chinese,Dong,3149,462,0.43722943722943725,0.16853932584269662,15,0.0,0,4,0,0.0,
Li_0111,qwen2.5-vl-7b,zh,Li,5,5,5,4,chinese,Li,773,666,0.37537537537537535,0.16666666666666666,16,0.0,0,4,0,0.0,
Li_0229,qwen2-vl-7b,zh,Li,4,4,5,4,chinese,Li,738,617,0.3679092382495948,0.19791666666666666,19,0.0,0,4,0,0.0,
Yi_0589,qwen2-vl-7b,zh,Yi,3,2,5,3,chinese,Yi,506,445,0.46741573033707867,0.13541666666666666,13,0.0,0,4,0,0.0,
Miao_0287,gpt-4o-mini,zh,Miao,3,4,5,3,western,Miao,692,597,0.4137353433835846,0.125,12,0.0,0,4,0,0.0,
Tibetan_0350,qwen2.5-vl-7b,en,Tibetan,4,3,5,4,chinese,Tibetan,3385,518,0.49034749034749037,0.1348314606741573,12,0.0,0,8,0,0.0,
Miao_0560,llama-3.2-vision-11b,zh,Miao,4,4,5,4,western,Miao,492,448,0.3794642857142857,0.09375,9,0.0,0,4,0,0.0,
Li_0073,qwen2.5-vl-7b,en,Li,2,2,5,3,chinese,Li,3816,576,0.4895833333333333,0.16853932584269662,15,0.0,0,4,0,0.0,
Li_0427,gpt-4o-mini,en,Li,3,3,5,3,western,Li,3135,452,0.5265486725663717,0.14606741573033707,13,0.0,0,4,0,0.0,
Li_0166,qwen2.5-vl-7b,en,Li,4,3,5,4,chinese,Li,3793,557,0.48114901256732495,0.19101123595505617,17,0.0,0,4,0,0.0,
Miao_0305,qwen2-vl-7b,en,Miao,4,5,5,4,chinese,Miao,2628,372,0.41935483870967744,0.15730337078651685,14,0.0,0,3,0,0.0,
Dong_0133,llama-3.2-vision-11b,en,Dong,4,3,5,4,western,Dong,3228,530,0.36792452830188677,0.20224719101123595,18,0.0,0,4,0,0.0,
Tibetan_0182,claude-haiku-4.5,zh,Tibetan,4,3,5,4,western,Tibetan,1126,734,0.388283378746594,0.1875,18,0.0,0,8,0,0.0,
Yi_0056,claude-haiku-4.5,zh,Yi,4,3,5,4,western,Yi,1167,712,0.39325842696629215,0.1875,18,0.0,0,4,0,0.0,
Tibetan_0470,qwen2.5-vl-7b,en,Tibetan,5,4,5,5,chinese,Tibetan,3682,527,0.4952561669829222,0.16853932584269662,15,0.0,0,8,0,0.0,
Tibetan_0040,llama-3.2-vision-11b,en,Tibetan,5,4,5,5,western,Tibetan,3103,489,0.35787321063394684,0.15730337078651685,14,0.0,0,8,0,0.0,
