image_id,model,origin,language,ethnic_group,char_len,token_count,ttr,general_ctc,general_terms_matched,correct_ethnic_ctc,correct_ethnic_terms_matched,correct_ethnic_terms_total,confusion_terms_matched,confusion_term_rate,matched_ethnic_terms
Tibetan_0079,qwen2-vl-7b,chinese,zh,Tibetan,694,598,0.3010033444816054,0.17708333333333334,17,0.0,0,8,0,0.0,
Li_0491,qwen2-vl-7b,chinese,zh,Li,720,618,0.3511326860841424,0.17708333333333334,17,0.0,0,4,0,0.0,
Li_0596,qwen2-vl-7b,chinese,zh,Li,775,615,0.4146341463414634,0.1875,18,0.0,0,4,0,0.0,
Li_0249,qwen2-vl-7b,chinese,zh,Li,823,705,0.3333333333333333,0.1875,18,0.0,0,4,0,0.0,
Tibetan_0196,qwen2-vl-7b,chinese,zh,Tibetan,703,589,0.34974533106960953,0.19791666666666666,19,0.0,0,8,0,0.0,
Dong_0084,qwen2-vl-7b,chinese,zh,Dong,631,520,0.4153846153846154,0.17708333333333334,17,0.0,0,4,0,0.0,
Tibetan_0424,qwen2-vl-7b,chinese,zh,Tibetan,393,353,0.46458923512747874,0.14583333333333334,14,0.0,0,8,0,0.0,
Dong_0219,qwen2-vl-7b,chinese,zh,Dong,700,610,0.33278688524590166,0.16666666666666666,16,0.0,0,4,0,0.0,
Yi_0138,qwen2-vl-7b,chinese,zh,Yi,805,693,0.3362193362193362,0.21875,21,0.0,0,4,0,0.0,
Tibetan_0596,qwen2-vl-7b,chinese,zh,Tibetan,337,306,0.49019607843137253,0.11458333333333333,11,0.0,0,8,0,0.0,
Miao_0370,qwen2-vl-7b,chinese,zh,Miao,733,637,0.31711145996860285,0.13541666666666666,13,0.0,0,4,0,0.0,
Yi_0562,qwen2-vl-7b,chinese,zh,Yi,322,290,0.5620689655172414,0.11458333333333333,11,0.0,0,4,0,0.0,
Li_0588,qwen2-vl-7b,chinese,zh,Li,744,647,0.36476043276661513,0.14583333333333334,14,0.0,0,4,0,0.0,
Yi_0084,qwen2-vl-7b,chinese,zh,Yi,804,693,0.3203463203463203,0.1875,18,0.0,0,4,0,0.0,
Dong_0003,qwen2-vl-7b,chinese,zh,Dong,688,580,0.3586206896551724,0.1875,18,0.0,0,4,0,0.0,
Li_0371,qwen2-vl-7b,chinese,zh,Li,673,576,0.359375,0.15625,15,0.0,0,4,0,0.0,
Dong_0007,qwen2-vl-7b,chinese,zh,Dong,668,576,0.3784722222222222,0.16666666666666666,16,0.0,0,4,0,0.0,
Li_0011,qwen2-vl-7b,chinese,zh,Li,540,456,0.4057017543859649,0.14583333333333334,14,0.0,0,4,0,0.0,
Miao_0305,qwen2-vl-7b,chinese,zh,Miao,699,594,0.3434343434343434,0.16666666666666666,16,0.0,0,4,0,0.0,
Tibetan_0064,qwen2-vl-7b,chinese,zh,Tibetan,647,559,0.3148479427549195,0.14583333333333334,14,0.0,0,8,0,0.0,
Yi_0454,qwen2-vl-7b,chinese,zh,Yi,700,601,0.34608985024958405,0.19791666666666666,19,0.0,0,4,0,0.0,
Li_0566,qwen2-vl-7b,chinese,zh,Li,614,535,0.3850467289719626,0.15625,15,0.0,0,4,0,0.0,
Tibetan_0177,qwen2.5-vl-7b,chinese,en,Tibetan,3756,559,0.5008944543828264,0.15730337078651685,14,0.0,0,8,0,0.0,
Dong_0375,qwen2.5-vl-7b,chinese,en,Dong,3886,584,0.4828767123287671,0.19101123595505617,17,0.0,0,4,0,0.0,
Tibetan_0430,qwen2.5-vl-7b,chinese,en,Tibetan,3054,452,0.49557522123893805,0.11235955056179775,10,0.0,0,8,0,0.0,
Li_0357,qwen2.5-vl-7b,chinese,en,Li,3461,519,0.5221579961464354,0.1348314606741573,12,0.0,0,4,0,0.0,
Li_0182,qwen2.5-vl-7b,chinese,en,Li,3639,524,0.5305343511450382,0.15730337078651685,14,0.0,0,4,0,0.0,
